date,month,start_date,start_adjusted_close,end_date,end_adjusted_close,sp500tr_return,source_url
2023-05,May 2023,2023-04-28,8928.349609375,2023-05-31,8967.16015625,0.004346889243029617,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2023-06,Jun 2023,2023-05-31,8967.16015625,2023-06-30,9559.669921875,0.06607551948450796,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2023-07,Jul 2023,2023-06-30,9559.669921875,2023-07-31,9866.76953125,0.03212449926459038,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2023-08,Aug 2023,2023-07-31,9866.76953125,2023-08-31,9709.6796875,-0.015921101962751427,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2023-09,Sept 2023,2023-08-31,9709.6796875,2023-09-29,9246.740234375,-0.04767813851995306,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2023-10,Oct 2023,2023-09-29,9246.740234375,2023-10-31,9052.3095703125,-0.021026941293289414,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2023-11,Nov 2023,2023-10-31,9052.3095703125,2023-11-30,9879.01953125,0.09132586049075653,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2023-12,Dec 2023,2023-11-30,9879.01953125,2023-12-29,10327.830078125,0.045430677149214116,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2024-01,Jan 2024,2023-12-29,10327.830078125,2024-01-31,10501.3798828125,0.01680409179611586,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2024-02,Feb 2024,2024-01-31,10501.3798828125,2024-02-29,11062.1103515625,0.05339588463681255,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2024-03,Mar 2024,2024-02-29,11062.1103515625,2024-03-28,11418.0302734375,0.032174685531384695,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2024-04,Apr 2024,2024-03-28,11418.0302734375,2024-04-30,10951.66015625,-0.040845058737709494,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2024-05,May 2024,2024-04-30,10951.66015625,2024-05-31,11494.7001953125,0.04958517990102096,https://query2.finance.yahoo.com/v8/finance/chart/%5ESP500TR?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
